objectid,ccdd,ccpp,ccdi,ubigeo,nombdist,fuente,periodo,ccdd_c,ccpp_c,ccdi_c,fec_reg
1701,21,06,07,210607,TARACO,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1649,21,01,07,210107,COATA,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1710,21,07,08,210708,PUCARA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1711,21,07,09,210709,SANTA LUCIA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1664,21,02,07,210207,JOSE DOMINGO CHOQUEHUANCA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1665,21,02,08,210208,MUÑANI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1666,21,02,09,210209,POTONI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1667,21,02,10,210210,SAMAN,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1668,21,02,11,210211,SAN ANTON,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1689,21,04,07,210407,ZEPITA,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1690,21,05,01,210501,ILAVE,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1691,21,05,02,210502,CAPAZO,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1692,21,05,03,210503,PILCUYO,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1693,21,05,04,210504,SANTA ROSA,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1694,21,05,05,210505,CONDURIRI,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1695,21,06,01,210601,HUANCANE,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1783,22,05,08,220508,SAN ROQUE DE CUMBAZA,V Censo Nacional Economico,1,22A,01,00,2022-07-22T01:39:29Z
1764,22,02,06,220206,SAN RAFAEL,V Censo Nacional Economico,1,22B,01,00,2022-07-22T01:39:29Z
1765,22,03,01,220301,SAN JOSE DE SISA,V Censo Nacional Economico,1,22A,01,00,2022-07-22T01:39:29Z
1820,22,09,10,220910,MORALES,V Censo Nacional Economico,1,22B,01,00,2022-07-22T01:39:29Z
1880,25,02,02,250202,SEPAHUA,V Censo Nacional Economico,1,250,01,00,2022-07-22T01:39:29Z
192,02,14,04,021404,CARHUAPAMPA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
949,10,03,22,100322,SILLAPATA,V Censo Nacional Economico,1,100,01,00,2022-07-22T01:39:29Z
1426,15,09,02,150902,ANDAJES,V Censo Nacional Economico,1,15A,01,00,2022-07-22T01:39:29Z
1776,22,05,01,220501,LAMAS,V Censo Nacional Economico,1,22A,01,00,2022-07-22T01:39:29Z
30,01,03,03,010303,CHURUJA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1812,22,09,02,220902,ALBERTO LEVEAU,V Censo Nacional Economico,1,22B,01,00,2022-07-22T01:39:29Z
4,01,01,04,010104,CHETO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
5,01,01,05,010105,CHILIQUIN,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
25,01,02,04,010204,EL PARCO,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
7,01,01,07,010107,GRANADA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
8,01,01,08,010108,HUANCAS,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1713,21,08,01,210801,AYAVIRI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1714,21,08,02,210802,ANTAUTA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
9,01,01,09,010109,LA JALCA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1715,21,08,03,210803,CUPI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1716,21,08,04,210804,LLALLI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
13,01,01,13,010113,MARISCAL CASTILLA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
111,02,05,02,020502,ABELARDO PARDO LEZAMETA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
468,05,03,02,050302,CARAPO,V Censo Nacional Economico,1,050,01,00,2022-07-22T01:39:29Z
15,01,01,15,010115,MONTEVIDEO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
469,05,03,03,050303,SACSAMARCA,V Censo Nacional Economico,1,050,01,00,2022-07-22T01:39:29Z
17,01,01,17,010117,QUINJALCA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1720,21,08,08,210808,SANTA ROSA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1721,21,08,09,210809,UMACHIRI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1722,21,09,01,210901,MOHO,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
18,01,01,18,010118,SAN FRANCISCO DE DAGUAS,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
20,01,01,20,010120,SOLOCO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
22,01,02,01,010201,BAGUA,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
23,01,02,02,010202,ARAMANGO,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
24,01,02,03,010203,COPALLIN,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
1732,21,11,02,211102,CABANA,V Censo Nacional Economico,1,210,02,00,2022-07-22T01:39:29Z
1733,21,11,03,211103,CABANILLAS,V Censo Nacional Economico,1,210,02,00,2022-07-22T01:39:29Z
1734,21,11,04,211104,CARACOTO,V Censo Nacional Economico,1,210,02,00,2022-07-22T01:39:29Z
1735,21,11,05,211105,SAN MIGUEL,V Censo Nacional Economico,1,210,02,00,2022-07-22T01:39:29Z
1736,21,12,01,211201,SANDIA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1737,21,12,02,211202,CUYOCUYO,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1738,21,12,03,211203,LIMBANI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
53,01,05,11,010511,MARIA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
115,02,05,06,020506,CANIS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
31,01,03,04,010304,COROSHA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
55,01,05,13,010513,OCUMAL,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
56,01,05,14,010514,PISUQUIA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
57,01,05,15,010515,PROVIDENCIA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
32,01,03,05,010305,CUISPES,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1739,21,12,04,211204,PATAMBUCO,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1740,21,12,05,211205,PHARA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1741,21,12,06,211206,QUIACA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1742,21,12,07,211207,SAN JUAN DEL ORO,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1743,21,12,08,211208,YANAHUAYA,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
1744,21,12,09,211209,ALTO INAMBARI,V Censo Nacional Economico,1,210,03,00,2022-07-22T01:39:29Z
34,01,03,07,010307,JAZAN,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1746,21,13,01,211301,YUNGUYO,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
1747,21,13,02,211302,ANAPIA,V Censo Nacional Economico,1,210,01,00,2022-07-22T01:39:29Z
35,01,03,08,010308,RECTA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
36,01,03,09,010309,SAN CARLOS,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
37,01,03,10,010310,SHIPASBAMBA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
38,01,03,11,010311,VALERA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
40,01,04,01,010401,NIEVA,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
41,01,04,02,010402,EL CENEPA,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
42,01,04,03,010403,RIO SANTIAGO,V Censo Nacional Economico,1,010,02,00,2022-07-22T01:39:29Z
43,01,05,01,010501,LAMUD,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
44,01,05,02,010502,CAMPORREDONDO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
46,01,05,04,010504,COLCAMAR,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
48,01,05,06,010506,INGUILPATA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
49,01,05,07,010507,LONGUITA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
76,01,06,11,010611,TOTORA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
50,01,05,08,010508,LONYA CHICO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
51,01,05,09,010509,LUYA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
82,01,07,05,010705,JAMALCA,V Censo Nacional Economico,1,010,03,00,2022-07-22T01:39:29Z
83,01,07,06,010706,LONYA GRANDE,V Censo Nacional Economico,1,010,03,00,2022-07-22T01:39:29Z
84,01,07,07,010707,YAMON,V Censo Nacional Economico,1,010,03,00,2022-07-22T01:39:29Z
52,01,05,10,010510,LUYA VIEJO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
58,01,05,16,010516,SAN CRISTOBAL,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
61,01,05,19,010519,SAN JUAN DE LOPECANCHA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
62,01,05,20,010520,SANTA CATALINA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1280,14,02,06,140206,PUEBLO NUEVO,V Censo Nacional Economico,1,140,01,00,2022-07-22T01:39:29Z
63,01,05,21,010521,SANTO TOMAS,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
65,01,05,23,010523,TRITA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
1287,14,03,07,140307,MOTUPE,V Censo Nacional Economico,1,140,03,00,2022-07-22T01:39:29Z
1288,14,03,08,140308,OLMOS,V Censo Nacional Economico,1,140,03,00,2022-07-22T01:39:29Z
66,01,06,01,010601,SAN NICOLAS,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
69,01,06,04,010604,HUAMBO,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
72,01,06,07,010607,MARISCAL BENAVIDES,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
73,01,06,08,010608,MILPUC,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
126,02,06,02,020602,ACOPAMPA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
74,01,06,09,010609,OMIA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
75,01,06,10,010610,SANTA ROSA,V Censo Nacional Economico,1,010,01,00,2022-07-22T01:39:29Z
80,01,07,03,010703,CUMBA,V Censo Nacional Economico,1,010,03,00,2022-07-22T01:39:29Z
86,02,01,02,020102,COCHABAMBA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
87,02,01,03,020103,COLCABAMBA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
127,02,06,03,020603,AMASHCA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
88,02,01,04,020104,HUANCHAY,V Censo Nacional Economico,1,02B,03,00,2022-07-22T01:39:29Z
90,02,01,06,020106,JANGAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
99,02,02,03,020203,HUACLLAN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
91,02,01,07,020107,LA LIBERTAD,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
95,02,01,11,020111,PIRA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
96,02,01,12,020112,TARICA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
97,02,02,01,020201,AIJA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
98,02,02,02,020202,CORIS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
100,02,02,04,020204,LA MERCED,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
101,02,02,05,020205,SUCCHA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
104,02,03,03,020303,CHACCHO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
1082,12,02,07,120207,HEROINAS TOLEDO,V Censo Nacional Economico,1,120,02,00,2022-07-22T01:39:29Z
105,02,03,04,020304,CHINGAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
106,02,03,05,020305,MIRGAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
108,02,04,01,020401,CHACAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
109,02,04,02,020402,ACOCHACA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
112,02,05,03,020503,ANTONIO RAYMONDI,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
128,02,06,04,020604,ANTA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
135,02,06,11,020611,YUNGAR,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
137,02,07,02,020702,SAN NICOLAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
119,02,05,10,020510,HUAYLLACAYAN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
120,02,05,11,020511,LA PRIMAVERA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
1268,14,01,14,140114,SANTA ROSA,V Censo Nacional Economico,1,140,02,00,2022-07-22T01:39:29Z
123,02,05,14,020514,SAN MIGUEL DE CORPANQUI,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
134,02,06,10,020610,TINCO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
1270,14,01,16,140116,CAYALTI,V Censo Nacional Economico,1,140,02,00,2022-07-22T01:39:29Z
124,02,05,15,020515,TICLLOS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
129,02,06,05,020605,ATAQUERO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
131,02,06,07,020607,PARIAHUANCA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
133,02,06,09,020609,SHILLA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
161,02,10,12,021012,RAHUAPAMPA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
162,02,10,13,021013,RAPAYAN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
163,02,10,14,021014,SAN MARCOS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
164,02,10,15,021015,SAN PEDRO DE CHANA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
185,02,13,05,021305,LLAMA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
186,02,13,06,021306,LLUMPA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
187,02,13,07,021307,LUCMA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
138,02,07,03,020703,YAUYA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
143,02,09,01,020901,CORONGO,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
144,02,09,02,020902,ACO,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
145,02,09,03,020903,BAMBAS,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
148,02,09,06,020906,YANAC,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
202,02,15,04,021504,HUACASCHUQUE,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
149,02,09,07,020907,YUPAN,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
151,02,10,02,021002,ANRA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
154,02,10,05,021005,HUACACHI,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
158,02,10,09,021009,MASIN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
160,02,10,11,021011,PONTO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
165,02,10,16,021016,UCO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
169,02,11,04,021104,HUAYAN,V Censo Nacional Economico,1,02B,03,00,2022-07-22T01:39:29Z
170,02,11,05,021105,MALVAS,V Censo Nacional Economico,1,02B,03,00,2022-07-22T01:39:29Z
171,02,12,01,021201,CARAZ,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
172,02,12,02,021202,HUALLANCA,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
173,02,12,03,021203,HUATA,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
175,02,12,05,021205,MATO,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
177,02,12,07,021207,PUEBLO LIBRE,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
181,02,13,01,021301,PISCOBAMBA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
495,05,05,12,050512,UNION PROGRESO,V Censo Nacional Economico,1,050,02,00,2022-07-22T01:39:29Z
496,05,05,13,050513,RIO MAGDALENA,V Censo Nacional Economico,1,050,02,00,2022-07-22T01:39:29Z
182,02,13,02,021302,CASCA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
509,05,06,11,050611,LUCANAS,V Censo Nacional Economico,1,110,03,00,2022-07-22T01:39:29Z
510,05,06,12,050612,OCAÑA,V Censo Nacional Economico,1,110,03,00,2022-07-22T01:39:29Z
511,05,06,13,050613,OTOCA,V Censo Nacional Economico,1,110,03,00,2022-07-22T01:39:29Z
512,05,06,14,050614,SAISA,V Censo Nacional Economico,1,110,03,00,2022-07-22T01:39:29Z
513,05,06,15,050615,SAN CRISTOBAL,V Censo Nacional Economico,1,110,03,00,2022-07-22T01:39:29Z
183,02,13,03,021303,ELEAZAR GUZMAN BARRON,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
259,03,01,09,030109,TAMBURCO,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
695,06,13,11,061311,YAUYUCAN,V Censo Nacional Economico,1,060,02,00,2022-07-22T01:39:29Z
188,02,13,08,021308,MUSGA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
191,02,14,03,021403,CAJAMARQUILLA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
292,03,04,06,030406,COTARUSE,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
293,03,04,07,030407,HUAYLLO,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
194,02,14,06,021406,CONGAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
195,02,14,07,021407,LLIPA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
196,02,14,08,021408,SAN CRISTOBAL DE RAJAN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
318,03,06,09,030609,ROCCHACC,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
198,02,14,10,021410,SANTIAGO DE CHILCAS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
199,02,15,01,021501,CABANA,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
200,02,15,02,021502,BOLOGNESI,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
203,02,15,05,021505,HUANDOVAL,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
204,02,15,06,021506,LACABAMBA,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
205,02,15,07,021507,LLAPO,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
218,02,17,05,021705,LLACLLIN,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
220,02,17,07,021707,PAMPAS CHICO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
222,02,17,09,021709,TAPACOCHA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
226,02,18,03,021803,COISHCO,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
231,02,18,08,021808,SANTA,V Censo Nacional Economico,1,02B,01,00,2022-07-22T01:39:29Z
333,03,07,12,030712,VILCABAMBA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
233,02,19,01,021901,SIHUAS,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
1794,22,07,03,220703,CASPISAPA,V Censo Nacional Economico,1,22B,01,00,2022-07-22T01:39:29Z
236,02,19,04,021904,CASHAPAMPA,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
242,02,19,10,021910,SICSIBAMBA,V Censo Nacional Economico,1,02A,02,00,2022-07-22T01:39:29Z
245,02,20,03,022003,MANCOS,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
246,02,20,04,022004,MATACOTO,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
621,06,05,06,060506,SANTA CRUZ DE TOLED,V Censo Nacional Economico,1,060,01,00,2022-07-22T01:39:29Z
248,02,20,06,022006,RANRAHIRCA,V Censo Nacional Economico,1,02A,01,00,2022-07-22T01:39:29Z
321,03,06,12,030612,AHUAYRO,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
258,03,01,08,030108,SAN PEDRO DE CACHORA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
261,03,02,02,030202,ANDARAPA,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
262,03,02,03,030203,CHIARA,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
264,03,02,05,030205,HUANCARAY,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
662,06,10,02,061002,CHANCAY,V Censo Nacional Economico,1,060,01,00,2022-07-22T01:39:29Z
268,03,02,09,030209,PACUCHA,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
270,03,02,11,030211,POMACOCHA,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
274,03,02,15,030215,SANTA MARIA DE CHICMO,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
277,03,02,18,030218,TURPO,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
1049,12,01,04,120104,CARHUACALLANGA,V Censo Nacional Economico,1,120,01,00,2022-07-22T01:39:29Z
278,03,02,19,030219,KAQUIABAMBA,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
281,03,03,02,030302,EL ORO,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
288,03,04,02,030402,CAPAYA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
1058,12,01,16,120116,HUACRAPUQUIO,V Censo Nacional Economico,1,120,01,00,2022-07-22T01:39:29Z
291,03,04,05,030405,COLCABAMBA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
294,03,04,08,030408,JUSTO APU SAHUARAURA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
295,03,04,09,030409,LUCRE,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
296,03,04,10,030410,POCOHUANCA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
297,03,04,11,030411,SAN JUAN DE CHACÑA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
299,03,04,13,030413,SORAYA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
303,03,04,17,030417,YANACA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
305,03,05,02,030502,COTABAMBAS,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
310,03,06,01,030601,CHINCHEROS,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
311,03,06,02,030602,ANCO_HUALLO,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
312,03,06,03,030603,COCHARCAS,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
315,03,06,06,030606,ONGOY,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
316,03,06,07,030607,URANMARCA,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
317,03,06,08,030608,RANRACANCHA,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
1059,12,01,17,120117,HUALHUAS,V Censo Nacional Economico,1,120,02,00,2022-07-22T01:39:29Z
319,03,06,10,030610,EL PORVENIR,V Censo Nacional Economico,1,030,02,00,2022-07-22T01:39:29Z
330,03,07,09,030709,SAN ANTONIO,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
331,03,07,10,030710,SANTA ROSA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
326,03,07,05,030705,MAMARA,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
327,03,07,06,030706,MICAELA BASTIDAS,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
336,04,01,01,040101,AREQUIPA,V Censo Nacional Economico,1,040,01,00,2022-07-22T01:39:29Z
1291,14,03,11,140311,SAN JOSE,V Censo Nacional Economico,1,140,03,00,2022-07-22T01:39:29Z
332,03,07,11,030711,TURPAY,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
334,03,07,13,030713,VIRUNDO,V Censo Nacional Economico,1,030,01,00,2022-07-22T01:39:29Z
342,04,01,07,040107,JACOBO HUNTER,V Censo Nacional Economico,1,040,04,00,2022-07-22T01:39:29Z
344,04,01,09,040109,MARIANO MELGAR,V Censo Nacional Economico,1,040,03,00,2022-07-22T01:39:29Z
337,04,01,02,040102,ALTO SELVA ALEGRE,V Censo Nacional Economico,1,040,02,00,2022-07-22T01:39:29Z
341,04,01,06,040106,CHIGUATA,V Censo Nacional Economico,1,040,03,00,2022-07-22T01:39:29Z
345,04,01,10,040110,MIRAFLORES,V Censo Nacional Economico,1,040,03,00,2022-07-22T01:39:29Z
353,04,01,18,040118,SAN JUAN DE SIGUAS,V Censo Nacional Economico,1,040,04,00,2022-07-22T01:39:29Z
